upc,name,price,stock,review_rating,review_num
a897fe39b1053632,A Light in the Attic,￥441.64,22,3,0
deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",￥488.39,19,3,0
3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),￥446.08,19,5,0
feb7cc7701ecf901,Olio,￥203.72,19,1,0
a34ba96d4081e6a4,Rip it Up and Start Again,￥298.75,19,5,0
0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",￥119.35,19,2,0
30a7f60cd76ca58c,Shakespeare's Sonnets,￥176.25,19,4,0
ce6396b0f23f6ecc,Set Me Free,￥148.95,19,5,0
1dfe412b8ac00530,The Black Maria,￥444.89,19,1,0
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,￥192.80,19,4,0
4165285e1663650f,Sapiens: A Brief History of Humankind,￥462.63,20,5,0
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",￥152.96,19,3,0
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,￥284.42,19,4,0
f77dbf2323deb740,The Requiem Red,￥193.22,19,1,0
e00eb4fd7b871a48,Sharp Objects,￥407.95,20,4,0
6957f44c3847a760,Soumission,￥427.40,20,1,0
a22124811bfa8350,It's Only the Himalayas,￥385.34,19,2,0
90fa61229261140a,Tipping the Velvet,￥458.45,20,1,0
a18a4f574854aced,Libertarianism for Beginners,￥437.89,19,2,0
e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849,￥320.68,19,1,0
55f9da0c5eea2e10,You can't bury them all: Poems,￥286.89,17,2,0
be5cc846f45496fb,Behind Closed Doors,￥445.48,18,4,0
19ed25f4641d5efd,"In a Dark, Dark Wood",￥167.46,18,1,0
23356462d1320d61,In Her Wake,￥109.54,19,1,0
668fe56b17cfcd4f,Penny Maybe,￥283.99,18,3,0
094b269567e1c300,Maude (1883-1993):She Grew Up with the country,￥153.73,18,2,0
6be3beb0793a53e7,Sophie's World,￥135.98,18,5,0
3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,￥264.88,18,3,0
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,￥150.66,18,5,0
9f6568e9c95f60b0,The Bear and the Piano,￥314.70,18,1,0
5dada2b7be26bd03,The Elephant Tree,￥203.21,18,5,0
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,￥191.95,19,3,0
904208d6aa64b655,Aladdin and His Wonderful Lamp,￥453.25,19,3,0
4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,￥343.80,18,5,0
ccd9ffa25efabdea,Wall and Piece,￥376.90,18,4,0
9528d0948525bf5f,Birdsong: A Story in Pictures,￥466.13,19,3,0
5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",￥260.36,19,3,0
327f68a59745c102,How Music Works,￥318.37,19,2,0
b4fd5943413e089a,Slow States of Collapse: Poems,￥488.91,17,3,0
00bfed9e18bb36f3,Black Dust,￥294.57,19,5,0
c2e46a2ee3b4a322,Chase Me (Paris Nights #2),￥215.58,19,5,0
cedf82b5086e4691,The Natural History of Us (The Fine Art of Pretending #2),￥385.77,16,3,0
5ee94540d0749ea0,The Past Never Ends,￥482.00,16,4,0
142d767a56a9254d,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",￥481.23,16,1,0
51653ef291ab7ddc,This One Summer,￥166.27,16,4,0
b5ea0b5dabed25a8,The Secret of Dreadwillow Carse,￥478.84,16,1,0
4eed62cf5f8d8edf,The Torch Is Passed: A Harding Family Story,￥162.85,16,1,0
7858914fad68493c,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,￥265.48,16,3,0
709822d0b5bcb7f4,Thirst,￥147.33,16,5,0
09555be379ad9253,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),￥138.88,16,1,0
9a9d6e9bc555731e,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",￥217.71,16,1,0
7ae099f3898e0209,Unicorn Tracks,￥160.21,16,3,0
d170b5a0da46380e,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",￥376.90,16,4,0
8d455c7539795d2a,"We Love You, Charlie Freeman",￥428.85,16,5,0
3ecb690d1542c568,When We Collided,￥271.03,16,1,0
acddfeab2a407640,Without Borders (Wanderlove #1),￥384.49,16,2,0
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,￥121.74,16,4,0
7d385d34d12e60ff,The Nameless City (The Nameless City #1),￥325.54,16,4,0
c82a3e358c773c73,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",￥429.96,16,3,0
53a3d11bb568cc8b,"Saga, Volume 5 (Saga (Collected Editions) #5)",￥435.42,16,2,0
d7310206583a54b6,Reskilling America: Learning to Labor in the Twenty-First Century,￥169.17,16,2,0
c27f6e1f185b0383,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,￥197.15,17,5,0
6f78a0d744c35456,Security,￥334.84,16,2,0
c849f0b2f5d6a742,"Saga, Volume 6 (Saga (Collected Editions) #6)",￥213.44,16,3,0
e6af5bf1163c1151,Soul Reader,￥337.65,16,2,0
87b0615b6e1f4d7b,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,￥356.85,16,4,0
80cfab6bcff3a244,The Art Forger,￥347.72,16,3,0
a3d2a4250807f1e9,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,￥168.31,16,1,0
7d6d2a6c0276f81b,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,￥275.04,16,5,0
bd261725b99f5983,The Death of Humanity: and the Case for Life,￥495.73,16,4,0
a30b270e25489e5c,The Electric Pencil: Drawings from Inside State Hospital No. 3,￥478.24,16,1,0
43c6a960757cf559,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",￥418.44,16,3,0
acd86a5426e21ca0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,￥316.75,16,1,0
31075275518532d7,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",￥203.80,16,4,0
0da9aa9d24677fc0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,￥143.06,16,3,0
aadee1c326d286e3,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,￥366.49,16,4,0
8c9e6bf2467d740d,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",￥175.65,16,5,0
d01ac97e2b8947c2,The Murder That Never Was (Forensic Instincts #5),￥461.61,16,3,0
b12b89017878a60d,Private Paris (Private #10),￥406.16,17,5,0
c8f7f0cb1abb9cac,Reasons to Stay Alive,￥225.30,17,2,0
b136b1b180ca753a,In the Country We Love: My Family Divided,￥187.68,16,4,0
18ad3ed896c7ce05,Join,￥304.30,16,5,0
228f74b74f3a08ae,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),￥459.82,16,2,0
7b75cc7f223791f4,"Layered: Baking, Building, and Styling Spectacular Cakes",￥342.17,16,1,0
57e5a4d515c8ce44,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),￥169.94,16,2,0
b6ee99bcf06fc91f,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",￥389.09,16,3,0
460089f796fb3f82,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",￥400.18,16,2,0
784bc2279baa878d,My Paris Kitchen: Recipes and Stories,￥284.68,16,2,0
fa9610a50a1bf149,Masks and Shadows,￥481.14,16,2,0
9ffa38d3b832433a,Online Marketing for Busy Authors: A Step-By-Step Guide,￥395.41,16,1,0
72f9d5be3472d34e,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",￥119.60,16,4,0
11809b1d323b3057,orange: The Complete Collection 1 (orange: The Complete Collection #1),￥412.98,16,1,0
889139b8e9c4cb36,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",￥131.72,16,4,0
3c346ab1e76ae1f6,Obsidian (Lux #1),￥126.77,16,2,0
b757c0c361e689ce,On a Midnight Clear,￥120.03,16,3,0
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),￥113.80,16,5,0
7392c0032f92d816,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",￥309.50,16,2,0
e80f8e518b300dfe,"Pop Gun War, Volume 1: Gift",￥161.83,16,1,0
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",￥116.11,16,5,0
e4f74c16de34d440,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,￥489.33,16,5,0
9429b4d59c537af5,Patience,￥86.67,16,3,0
6d5300b2d8f37e07,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",￥239.63,16,2,0
bdf415fd484ea8a7,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",￥323.49,16,2,0
74baabfc8fd84b38,Bossypants,￥421.94,16,2,0
5ceb951f629700a2,Burning,￥245.78,16,3,0
7b599c8bfcdd8d30,Camp Midnight,￥145.71,16,4,0
8754c83ab2a7ae71,"Codename Baboushka, Volume 1: The Conclave of Death",￥313.25,16,4,0
7267864328ae8b9d,Crown of Midnight (Throne of Glass #2),￥369.30,16,3,0
09b6cc87e62c2c58,Danganronpa Volume 1,￥443.52,16,4,0
fce19f9b4a943f22,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",￥323.92,16,2,0
9beb96a2300109d7,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,￥253.28,16,3,0
2a97cffe61c3c4c7,Her Backup Boyfriend (The Sorensen Family #1),￥289.79,16,1,0
311c0dd0e354a33e,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,￥463.65,16,2,0
7add3f8e49ec0826,Fifty Shades Darker (Fifty Shades #2),￥187.34,16,1,0
9e28048cea8d41f7,First and First (Five Boroughs #3),￥136.24,16,4,0
f2df3bb043a8abb0,"Giant Days, Vol. 2 (Giant Days #5-8)",￥188.62,16,2,0
a6f99b9e687f9d46,How to Be Miserable: 40 Strategies You Already Use,￥392.68,16,1,0
f5a92cff83897d48,The Stranger,￥148.78,15,4,0
fd3a622648667296,The Vacationers,￥359.58,15,4,0
3bebf34ee9330cbd,The Third Wave: An Entrepreneur’s Vision of the Future,￥107.57,15,5,0
623e1a180426039b,The Wedding Dress,￥205.77,15,1,0
37c0cb19713d8dda,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,￥495.47,15,4,0
bee3672891cca906,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,￥248.59,16,5,0
bc2a85fd35fdc7bd,Thirteen Reasons Why,￥449.75,15,1,0
de3f25248ba0789f,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,￥508.78,15,1,0
590a9cccf7db9f7d,Throne of Glass (Throne of Glass #1),￥299.18,15,3,0
9270575728a13a61,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",￥369.39,15,4,0
d7d6d50c1e3d0b81,Tracing Numbers on a Train,￥354.89,15,3,0
b8736690cf263a3c,Tuesday Nights in 1980,￥179.49,15,2,0
796c87ddbbaaf8c5,You Are What You Love: The Spiritual Power of Habit,￥186.57,15,4,0
01d2001ac1e6f8a3,A Court of Thorns and Roses (A Court of Thorns and Roses #1),￥446.76,16,1,0
e4ac92d89b946781,(Un)Qualified: How God Uses Broken People to Do Big Things,￥460.67,16,5,0
842790dfaa937484,A Fierce and Subtle Poison,￥239.97,16,4,0
3a6fb983e2554023,A Flight of Arrows (The Pathfinders #2),￥473.72,16,5,0
f733e8c19d40ec2e,A Murder in Time,￥141.95,16,1,0
8a380641491d43ed,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",￥484.21,16,5,0
38d45839cb1c83c1,Algorithms to Live By: The Computer Science of Human Decisions,￥262.84,16,1,0
70ed59f194b3c556,A World of Flavor: Your Gluten Free Passport,￥366.40,16,1,0
96a38e7c813d8f1d,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,￥351.90,15,1,0
d6670dfe3e7b42bd,The Emerald Mystery,￥197.49,15,2,0
e956d67c9bcc5809,The Girl on the Train,￥469.37,15,2,0
42d0d7c92b75fc1c,The Genius of Birds,￥147.07,15,1,0
2dbb7ec08cdd7f3c,The Glittering Court (The Glittering Court #1),￥377.75,15,1,0
eac1a180047ad54e,The Kite Runner,￥356.76,15,4,0
9287e238d7c3b06e,The House by the Lake,￥315.22,15,1,0
abeafe151a587d3b,The Long Shadow of Small Ghosts: Murder and Memory in an American City,￥93.58,15,1,0
08db62f24627e71f,The Matchmaker's Playbook (Wingmen Inc. #1),￥476.45,15,1,0
